timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626903125830,19,ClickLoginIn -4,200,OK,Editor 1-1,text,true,,1076,386,2,2,http://192.168.56.101/Account/account.js,19,0,0
1626903125832,14,ClickLoginIn -5,200,OK,Editor 1-1,bin,true,,7487,396,2,2,http://192.168.56.101/Content/images/blog/logo.png,14,0,0
1626903125525,269,ClickLogin,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor 1-1,,true,,104781,2349,2,2,null,5,304,0
1626903126398,6,Login,302,Found,Editor 1-1,text,true,,1164,1107,2,2,http://192.168.56.101/Account/login.aspx,6,0,0
1626903126398,6,Login-0,302,Found,Editor 1-1,text,true,,1164,1107,2,2,http://192.168.56.101/Account/login.aspx,6,0,0
1626903126098,6,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor 1-1,,true,,1164,1107,2,2,null,6,301,0
1626903126398,8,Login,302,Found,Editor 1-2,text,true,,1164,1095,2,2,http://192.168.56.101/Account/login.aspx,8,0,0
1626903126398,8,Login-0,302,Found,Editor 1-2,text,true,,1164,1095,2,2,http://192.168.56.101/Account/login.aspx,8,0,0
1626903126098,8,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor 1-2,,true,,1164,1095,2,2,null,8,300,0
1626903126705,20,ClickCalendarMonthJune,200,OK,Editor 1-1,text,true,,5092,2553,2,2,http://192.168.56.101/,20,0,0
1626903126707,21,ClickCalendarMonthJune,200,OK,Editor 1-2,text,true,,5092,2553,2,2,http://192.168.56.101/,21,0,0
1626903127026,32,ClickCalendarMonthMay,200,OK,Editor 1-1,text,true,,6196,3139,2,2,http://192.168.56.101/,32,0,0
1626903126405,52,SelectMonth,200,"Number of samples in transaction : 2, number of failing samples : 0",Editor 1-1,,true,,11288,5692,2,2,null,52,601,0
1626903127029,35,ClickCalendarMonthMay,200,OK,Editor 1-2,text,true,,6196,3139,2,2,http://192.168.56.101/,35,0,0
1626903126406,56,SelectMonth,200,"Number of samples in transaction : 2, number of failing samples : 0",Editor 1-2,,true,,11288,5692,2,2,null,56,602,0
1626903127365,35,SelectDate_1/2021/05/25/default-106,200,OK,Editor 1-2,text,true,,48814,2323,2,2,http://192.168.56.101/2021/05/25/default,28,0,0
1626903127365,28,SelectDate_1/2021/05/25/default-106-0,200,OK,Editor 1-2,text,true,,33462,1160,2,2,http://192.168.56.101/2021/05/25/default,28,0,0
1626903127395,5,SelectDate_1/2021/05/25/default-106-1,200,OK,Editor 1-2,text,true,,15352,1163,2,2,http://192.168.56.101/Scripts/App/widget.js,5,0,0
1626903127064,35,SelectPredefinedDate,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor 1-2,,true,,48814,2323,2,2,null,28,302,0
1626903127358,42,SelectDate_1/2021/05/25/default-106,200,OK,Editor 1-1,text,true,,37180,2323,2,2,http://192.168.56.101/2021/05/25/default,37,0,0
1626903127358,37,SelectDate_1/2021/05/25/default-106-0,200,OK,Editor 1-1,text,true,,33462,1160,2,2,http://192.168.56.101/2021/05/25/default,37,0,0
1626903127397,3,SelectDate_1/2021/05/25/default-106-1,200,OK,Editor 1-1,text,true,,3718,1163,2,2,http://192.168.56.101/Scripts/App/widget.js,3,0,0
1626903127058,42,SelectPredefinedDate,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor 1-1,,true,,37180,2323,2,2,null,37,301,0
1626903127701,56,OpenPost_1/post/test122-107,200,OK,Editor 1-2,text,true,,35060,2367,2,2,http://192.168.56.101/post/test117,49,0,0
1626903127701,56,OpenPost_1/post/test122-107,200,OK,Editor 1-1,text,true,,35019,2368,2,2,http://192.168.56.101/post/test1100,48,0,0
1626903127701,50,OpenPost_1/post/test122-107-0,200,OK,Editor 1-2,text,true,,32226,1172,2,2,http://192.168.56.101/post/test117,49,0,0
1626903127701,48,OpenPost_1/post/test122-107-0,200,OK,Editor 1-1,text,true,,32185,1173,2,2,http://192.168.56.101/post/test1100,48,0,0
1626903127752,5,OpenPost_1/post/test122-107-1,200,OK,Editor 1-2,bin,true,,2834,1195,2,2,http://192.168.56.101/Content/images/blog/ajax-loader.gif,5,0,0
1626903127751,6,OpenPost_1/post/test122-107-1,200,OK,Editor 1-1,bin,true,,2834,1195,2,2,http://192.168.56.101/Content/images/blog/ajax-loader.gif,6,0,0
1626903127401,56,OpenRandomPost,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor 1-2,,true,,35060,2367,2,2,null,49,300,0
